,player_0,player_1,player_2,player_3,player_4,level_0,level_1,level_2,level_3,level_4,level_5,age,duration_ms,# tries,target
12052,0.022991452991452985,0.02955982905982906,0.013829696153846152,0.004878632478632479,1.9621045751633985,,0.5192757823060519,0.020188034188034186,0.0,9.0,1.0,14.0,263878.55555555556,9,6
4154,0.013807692307692307,0.004730769230769231,0.0,0.0037807692307692308,2.2879117647058824,0.0010730769230769231,0.384108788801477,0.00573076923076923,0.2736842105263158,,1.0,,268733.0,2,9
2329,0.020307692307692304,0.023015384615384618,0.0006246515384615384,0.011476923076923077,1.9980588235294117,0.0011315384615384616,,0.03195384615384615,0.14947368421052631,1.0,1.0,27.0,169330.8,5,5
5851,0.01517788461538461,0.008306480769230766,0.02617759615384616,0.009273461538461543,2.3320404411764706,0.002105096153846154,0.47352360351423467,,0.4071052631578947,0.0,1.0,27.0,476347.3,40,9
5210,0.0068890109890109895,0.003096153846153846,0.006715577472527472,0.0043252747252747244,2.3956302521008404,0.001795054945054945,0.47061772036627736,0.0019126373626373629,0.281203007518797,7.0,1.0,,337596.14285714284,7,4
10069,0.020147435897435898,0.017782051282051282,0.0002462948717948718,0.010698717948717951,2.067186274509804,0.0013256410256410253,0.523252182618959,0.021384615384615387,0.3473684210526316,1.0,1.0,23.0,250989.0,12,8
11084,0.02603846153846154,0.032038461538461536,0.0,0.002203846153846154,1.926441176470588,0.0035115384615384618,0.4206013511341352,0.030384615384615385,0.4842105263157895,0.0,1.0,,196733.0,2,9
7833,0.020730769230769233,0.024846153846153844,0.00032192307692307696,0.003961538461538462,2.0936470588235294,0.0024846153846153846,0.4922408527484236,0.017538461538461537,0.28421052631578947,4.0,1.0,14.0,118493.0,2,1
11046,0.02117948717948718,0.010217948717948717,2.7474358974358977e-07,0.027128205128205126,2.330200980392157,0.011073076923076923,,0.02151923076923077,0.25614035087719295,7.0,,28.0,197636.83333333328,6,9
8847,0.015157342657342658,0.03006293706293706,1.804958041958042e-05,0.01041853146853147,1.9125320855614973,0.003677972027972028,0.6456589983270521,0.023465034965034968,0.3913875598086124,7.0,1.0,,209836.27272727274,22,3
